timestep_sec,vehicle_id,current_edge,current_lane,current_speed_ms,current_soc_percent,battery_capacity_wh,priority,nearest_station_id,nearest_station_name,nearest_distance_m,nearest_edge,nearest_lane,nearest_power_kw,nearest_charging_available,nearest_waiting_available,nearest_occupancy_rate,2nd_nearest_station_id,2nd_nearest_station_name,2nd_nearest_distance_m,2nd_nearest_edge,2nd_nearest_lane,2nd_nearest_power_kw,2nd_nearest_charging_available,2nd_nearest_waiting_available,2nd_nearest_occupancy_rate,recommended_station,recommendation_reason
561.0,eVan_033,E0,E0_0,12.72,29.06,5760.0,HIGH,pa_2,Station pa_2,95.0,E0,E0_0,20.0,0,1,100.0,pa_3_rev,Station pa_3_rev,115.23,NEG_E1,NEG_E1_0,20.0,0,0,100.0,Station pa_2,Nearest with waiting slots
562.0,easyBike_021,NEG_E1,parked,0.0,26.65,12000.0,HIGH,pa_3_rev,Station pa_3_rev,32.42,NEG_E1,NEG_E1_0,20.0,0,0,100.0,pa_2,Station pa_2,52.18,E0,E0_0,20.0,0,1,100.0,Station pa_3_rev,Nearest (all busy)
563.0,easyBike_026,E1,E1_0,0.0,16.06,12000.0,CRITICAL,pa_3,Station pa_3,76.1,E1,E1_0,20.0,0,0,100.0,pa_3_rev,Station pa_3_rev,379.54,NEG_E1,NEG_E1_0,20.0,0,0,100.0,Station pa_3,Nearest (all busy)
563.0,eRickshaw_029,NEG_E1,parked,0.0,29.06,7200.0,HIGH,pa_3_rev,Station pa_3_rev,23.0,NEG_E1,NEG_E1_0,20.0,0,0,100.0,pa_2,Station pa_2,43.17,E0,E0_0,20.0,0,1,100.0,Station pa_3_rev,Nearest (all busy)
566.0,easyBike_030,NEG_E8,NEG_E8_0,12.81,13.99,12000.0,CRITICAL,pa_8,Station pa_8,107.27,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,409.66,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
566.0,eVan_032,NEG_E7,NEG_E7_1,13.79,33.64,5760.0,MEDIUM,pa_8,Station pa_8,93.72,E7,E7_0,25.0,4,3,20.0,pa_8_rev,Station pa_8_rev,381.89,NEG_E7,NEG_E7_0,25.0,0,0,100.0,Station pa_8,Nearest with charging slots
568.0,easyBike_022,NEG_E6,parked,0.0,28.35,12000.0,HIGH,pa_7_rev,Station pa_7_rev,71.97,NEG_E6,NEG_E6_0,20.0,0,0,100.0,pa_6,Station pa_6,74.01,E5,E5_0,25.0,0,3,100.0,Station pa_7_rev,Nearest (all busy)
568.0,eRickshaw_027,E6,E6_0,6.51,30.42,7200.0,MEDIUM,pa_6,Station pa_6,17.75,E5,E5_0,25.0,0,3,100.0,pa_7_rev,Station pa_7_rev,19.35,NEG_E6,NEG_E6_0,20.0,0,0,100.0,Station pa_6,Nearest with waiting slots
568.0,eRickshaw_029,NEG_E1,NEG_E1_0,11.47,29.15,7200.0,HIGH,pa_3,Station pa_3,91.75,E1,E1_0,20.0,0,0,100.0,pa_3_rev,Station pa_3_rev,364.27,NEG_E1,NEG_E1_0,20.0,0,0,100.0,Station pa_3,Nearest (all busy)
571.0,easyBike_001,E1,E1_0,11.08,42.8,12000.0,MEDIUM,pa_3_rev,Station pa_3_rev,31.91,NEG_E1,NEG_E1_0,20.0,0,0,100.0,pa_2,Station pa_2,48.24,E0,E0_0,20.0,0,1,100.0,Station pa_3_rev,Nearest (all busy)
571.0,easyBike_003,E8,E8_1,11.27,39.9,12000.0,MEDIUM,pa_8,Station pa_8,66.62,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,402.53,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
571.0,easyBike_004,E8,E8_0,11.34,38.56,12000.0,MEDIUM,pa_8,Station pa_8,63.15,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,399.45,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
571.0,easyBike_005,NEG_E3,NEG_E3_0,9.59,38.01,12000.0,MEDIUM,pa_3,Station pa_3,150.93,E1,E1_0,20.0,0,0,100.0,pa_8,Station pa_8,460.34,E7,E7_0,25.0,4,3,20.0,Station pa_8,2nd nearest has slots (nearest full)
571.0,easyBike_006,NEG_E9,NEG_E9_0,11.48,36.96,12000.0,MEDIUM,pa_8,Station pa_8,39.74,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,365.77,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
571.0,easyBike_007,NEG_E7,NEG_E7_0,11.57,35.73,12000.0,MEDIUM,pa_8,Station pa_8,129.07,E7,E7_0,25.0,4,3,20.0,pa_8_rev,Station pa_8_rev,346.67,NEG_E7,NEG_E7_0,25.0,0,0,100.0,Station pa_8,Nearest with charging slots
571.0,easyBike_008,NEG_E7,NEG_E7_1,11.69,34.6,12000.0,MEDIUM,pa_8,Station pa_8,96.23,E7,E7_0,25.0,4,3,20.0,pa_8_rev,Station pa_8_rev,379.37,NEG_E7,NEG_E7_0,25.0,0,0,100.0,Station pa_8,Nearest with charging slots
