timestep_sec,vehicle_id,vehicle_type,current_soc_percent,nearest_station,route_length_m,slot_availability
406.0,easyBike_reverse2.9,easyBike,26.25,pa_7_rev,2196.0,waiting
412.0,easyBike_forward1.8,easyBike,26.25,pa_3,1668.35,waiting
412.0,easyBike_reverse3.8,easyBike,26.25,pa_7_rev,2196.0,waiting
417.0,eRickshaw_forward3.1,eRickshaw,30.0,pa_8,900.0,charging
418.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
419.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
420.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
421.0,eRickshaw_forward3.1,eRickshaw,29.98,pa_8,900.0,charging
421.0,easyBike_forward2.7,easyBike,26.25,pa_3,1668.35,waiting
422.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
423.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
424.0,eRickshaw_forward3.1,eRickshaw,30.0,pa_8,900.0,charging
425.0,eRickshaw_forward3.1,eRickshaw,30.0,pa_8,900.0,charging
426.0,eRickshaw_forward3.1,eRickshaw,30.0,pa_8,900.0,charging
427.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
428.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
429.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
430.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
431.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
432.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
433.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
433.0,easyBike_forward3.6,easyBike,26.25,pa_7,1213.49,charging
434.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
435.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
436.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
437.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
438.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
439.0,eRickshaw_forward3.1,eRickshaw,29.99,pa_8,900.0,charging
