vehicle_id,vehicle_type,depart_time,max_speed_kmh,total_waiting_time,final_distance
easybike_01,easyBike,0.5,55.48351953451575,253.0,3050.4772373164724
easybike_02,easyBike,3.0,49.390523972185925,29568.0,3440.154971023569
easybike_03,easyBike,5.0,53.00720115812931,90150.0,2866.965940982373
easybike_04,easyBike,8.0,56.63775263905543,334287.5,4662.748843590505
easybike_05,easyBike,9.0,54.0144907534587,90066.0,3401.6856988343734
easybike_06,easyBike,11.0,50.004000000000005,176452.0,3538.3013689558225
easybike_07,easyBike,13.0,54.791341137240615,176013.5,4524.643459288852
easybike_08,easyBike,15.0,50.004000000000005,136812.5,3753.387760213879
erickshaw_03,eRickshaw,16.0,24.984,209645.5,2876.283101828692
erickshaw_04,eRickshaw,21.0,24.984,294587.5,4661.950570509678
erickshaw_05,eRickshaw,26.0,24.981666869072246,117678.0,3414.06948285274
evan_03,eVan,30.0,44.24400000000001,160183.0,3413.995924356306
easybike_flow_r1.0,easyBike,51.0,54.853413980182665,114232.0,3047.806372940402
easybike_flow_r2.0,easyBike,53.0,58.572750110676026,336111.0,3446.714493722202
easybike_flow_r3.0,easyBike,55.0,52.048249650758315,294993.0,2878.256511047172
easybike_flow_r4.0,easyBike,58.0,48.82813089410098,357311.0,4658.441549085252
easybike_flow_r5.0,easyBike,59.0,50.004000000000005,203759.0,3408.4176940334787
easybike_flow_r6.0,easyBike,61.0,50.004000000000005,382224.0,3542.2794820435392
easybike_flow_r7.0,easyBike,64.0,49.2951278612272,381579.0,4525.304735745223
easybike_flow_r8.0,easyBike,65.0,60.395370728938865,195010.0,3749.7049392372655
erickshaw_flow_r1.0,eRickshaw,71.0,24.981148679316043,125978.5,3059.649456762307
erickshaw_flow_r2.0,eRickshaw,73.0,24.98082820750773,322981.5,3444.3568805871932
erickshaw_flow_r3.0,eRickshaw,77.0,24.984,408370.5,2876.2119715869253
erickshaw_flow_r5.0,eRickshaw,79.0,24.98364283401333,212647.5,3408.423450757967
erickshaw_flow_r4.0,eRickshaw,81.0,24.982838658984754,449134.0,4666.844489589591
evan_flow_r1.0,eVan,86.0,36.10927790709873,164417.0,3059.67101473845
evan_flow_r2.0,eVan,88.0,38.358091207581104,400951.5,3438.981294756346
evan_flow_r3.0,eVan,92.0,50.004000000000005,487773.0,2875.5822021992653
evan_flow_r5.0,eVan,92.0,49.091507849916084,253215.5,3406.8477992441603
easybike_flow_r1.1,easyBike,96.0,49.05553937640746,206538.5,3051.239435966431
easybike_flow_r3.1,easyBike,103.0,61.42156190352502,531569.0,2868.791553720992
easybike_flow_r2.1,easyBike,105.0,60.17612463216791,483721.0,3446.0544202512538
easybike_flow_r5.1,easyBike,114.0,52.747467808189555,296143.0,3403.049082271886
easybike_flow_r4.1,easyBike,129.0,61.07148488114984,595487.5,4662.7602235837185
easybike_flow_r1.2,easyBike,141.0,52.23779401757462,249319.0,3057.770808937571
easybike_flow_r6.1,easyBike,141.0,53.48411921020275,615754.0,3546.702693818176
easybike_flow_r3.2,easyBike,151.0,51.15838720149666,611307.0,2867.832784239821
easybike_flow_r7.1,easyBike,153.0,61.47538317455715,655406.5,4527.217805693128
easybike_flow_r2.2,easyBike,156.0,57.619566078125686,608986.5,3445.9790498487946
easybike_flow_r8.1,easyBike,168.0,47.52361043476274,210558.0,3742.0920466455036
easybike_flow_r5.2,easyBike,170.0,54.022138404438834,344946.0,3409.582888033031
erickshaw_flow_r1.1,eRickshaw,174.0,24.982785043830987,273811.5,3056.2050344063045
easybike_flow_r1.3,easyBike,186.0,47.092080187767166,273301.0,3061.351979418004
erickshaw_flow_r2.1,eRickshaw,193.0,24.983123098273765,595029.0,3444.1879857489967
easybike_flow_r3.3,easyBike,199.0,54.66208245443688,682573.0,2879.0650891897812
